Position,Squad,Club,GamesPlayed,Win,Lost,Draw,GF,GA,GD,PTS
1,Juventus Turin,Juventus Turin Italienischer SuperpokalsiegerItalienischer Meister,24,17,6,1,51,13,38,57
2,AS Rom,AS Rom,24,13,9,2,37,18,19,48
3,SSC Neapel,SSC Neapel Italienischer Pokalsieger,24,13,6,5,44,30,14,45
4,Lazio Rom,Lazio Rom,25,13,4,8,43,27,16,43
5,Sampdoria Genua,UC Sampdoria,25,9,12,4,32,28,4,39
6,AC Florenz,AC Florenz,24,10,9,5,36,24,12,39
7,FC Genua 1893,FC Genua,24,9,9,6,36,29,7,36
8,Inter Mailand,Inter Mailand,24,9,8,7,39,31,8,35
9,US Palermo,US Palermo ÿ,25,8,10,7,38,39,-1,34
10,AC Mailand,AC Mailand,25,8,10,7,35,30,5,34
11,FC Turin,FC Turin,24,8,9,7,27,25,2,33
12,US Sassuolo,US Sassuolo,25,6,11,8,29,38,-9,29
13,Udinese Calcio,Udinese Calcio,24,7,7,10,26,32,-6,28
14,Hellas Verona,Hellas Verona,25,7,7,11,29,44,-15,28
15,FC Empoli,FC Empoli ÿ,25,5,13,7,25,27,-2,28
16,Chievo Verona,Chievo Verona,25,6,7,12,18,30,-12,25
17,Atalanta Bergamo,Atal. Bergamo,25,5,8,12,22,37,-15,23
18,Cagliari Calcio,Cagliari Calcio,25,4,8,13,32,47,-15,20
19,AC Cesena,AC Cesena ÿ,25,4,7,14,24,47,-23,19
20,FC Parma,FC Parma,23,3,2,18,20,47,-27,10
